idConta;saldo;nome
1;20;pessoa1
2;21;pessoa2
3;22;pessoa3
4;23;pessoa4
5;24;pessoa5
6;25;pessoa6
7;26;pessoa7
8;27;pessoa8
9;28;pessoa9
10;29;pessoa10
11;30;pessoa11
12;31;pessoa12
13;32;pessoa13
14;33;pessoa14
15;34;pessoa15
16;35;pessoa16
17;36;pessoa17
18;37;pessoa18
19;38;pessoa19
20;39;pessoa20
21;40;pessoa21
22;41;pessoa22
23;42;pessoa23
24;43;pessoa24
25;44;pessoa25
26;45;pessoa26
27;46;pessoa27
28;47;pessoa28
29;48;pessoa29
30;49;pessoa30
31;50;pessoa31
32;51;pessoa32
33;52;pessoa33
34;53;pessoa34
35;54;pessoa35
36;55;pessoa36
37;56;pessoa37
38;57;pessoa38
39;58;pessoa39
